id,student_id,login_at,logout_at,duration_seconds,active
ddec26c3-7fd5-49fd-ba30-caea52fc84fd,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:49:28.142423,,,true
e0a1b08b-c54d-4ffb-b84c-d498f53b41e8,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:31:34.601545,,,true
e10fe8fb-49fa-4970-8e6a-644517c8a40e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:01:18.054408,,,true
e33c86b3-16f4-4f36-a68b-5577a0792116,863be68b-9e0a-4751-9b1f-ffbc07162fee,2026-05-14 22:41:55.545433,,,true
e3eb1b28-c80a-4246-b3c5-f4ce1e7805c1,d09b18d6-2a99-46b0-9a76-f0c710db48f9,2026-05-25 14:31:42.671808,,,true
e65c1c07-87df-42f5-9c75-d9c8616365e9,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:26:39.044576,,,true
e6f2405e-dbe2-4621-aad4-b3d0e5f5c0fa,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 02:05:09.191456,,,true
e7562b0f-57a8-4c17-9127-eff66eb83b6b,22b8b5e1-bc2d-42d8-a039-73526defa74d,2026-05-25 14:28:55.832356,,,true
ead08f7d-6dfc-4602-bf2a-8b3e1e23e28e,98c87153-7818-42f1-8c09-fda9838e598f,2026-05-13 16:15:46.866366,,,true
eb4db3c0-bd8e-4129-96ae-1f3465f2327d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 14:38:51.047479,,,true
edbed4c1-d2b4-4e9b-ae1c-cf807a39bf9d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 14:43:24.634187,,,true
f025a5ef-d75f-4a05-94d1-ef79b7c1f9c9,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 19:45:05.00001,,,true
f116d0b7-2acf-4480-a4f9-b4ab30dcdb7e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 20:31:50.33652,,,true
f158b2ee-fa32-4d42-8764-2be29f7f561f,bc524b28-e88b-4548-bbd3-f3babf00539f,2026-06-05 13:27:10.705519,,,true
f1741d58-5e83-4da6-9cd3-c390196127ef,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-06-01 02:24:50.476867,2026-06-01 02:25:25.45,34,false
f276085f-af97-45e7-b252-ddf082be845e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:10:45.601334,,,true
f317927a-af01-45b9-81e6-152d00e5ce22,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:17:59.808896,2026-05-20 04:17:58.675,0,false
f51bebf4-8b0c-4ef0-bff7-2a885d39d3ac,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,2026-06-03 15:54:20.501459,,,true
f581f975-5bef-4e94-96a9-5b4fc3a22218,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 01:40:12.51939,,,true
face0a27-8aeb-4ba0-a645-f39032c464a8,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:11:20.071564,,,true
fd9e15d6-f0a6-4627-aeb9-ad8c0b7f5d14,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 03:26:22.972381,2026-05-19 03:26:38.382,15,false
ffdd97ac-5ac7-4ab3-a710-d76ed9c9d60b,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,2026-05-21 02:28:54.383762,,,true
